NEW CP ONBOARDING PLAN — June 2026 (v4),,,,,
,,,,,
1. LEAD INFLOW (Rajnish),,,,,
City,Active gap,Reactivations,New onboardings,Leads needed,Weekly leads
Gurgaon,0,0,0,0,0
Noida,107,94,13,49,11
Ghaziabad,112,1,111,417,97
TOTAL,219,95,124,466,108
,,,,,
2. CONVERSION MATH,Rate,Source,,,
Lead → Contacted (48h),95%,SLA,,,
Contacted → Onboarded,40%,Industry cold-call,,,
Onboarded → Active (60d),70%,OH historic,,,
Lead → Active (compound),27%,Product,,,
,,,,,
3. REACHOUT TEAM (HQ outbound),Volume,Per day,Reps,,
New broker calls,466,21,1,@ 40 calls/day,
Reactivation calls (stopped),570,26,1,,
TOTAL,,,2,,
,,,,,
4. DIRECT LEAD INFLOW (Adiksha),,,,,
