TEAM-WISE ACTION PLAN — who does what to hit Tier 1/2 visit lift + property visits + closures,,,,
"Three goals, three teams. Calling Team + Ground Team jointly own visit growth. Team Leads own closures.",,,,
,,,,
SECTION 1 — GOAL MAP,,,,
,,,,
Goal,Metric,Current,Target,Owner team(s)
G1. Lift visits from Tier 1+2 brokers,Avg completed visits per Tier-1/2 broker per month,3.5,6,Calling Team + Ground Team (joint)
G2. Property-level visit floor,Min completed visits per active property (over its listed life),Median ~7 (society-level avg ~21),≥ 25 per active property,Ground Team
G2a. Activate Tier-3 brokers per society,# inactive (Tier 3) brokers reactivated to ≥1 visit,—,≥ 5 per active property per month,Ground Team
G2b. Onboard new CPs working in our societies,# external 99acres brokers onboarded (from tabs 21–24 priority list),—,≥ 3 per active property per month,Ground Team
G2c. Improve buyer visit experience,% of visits where Ground RM is present / assists,—,≥ 50% of weekend visits assisted,Ground Team
G3. Increase closure throughput,# Bookings + ATSs,Apr-May: ~10–15 / month,"Sustained ≥ 20 / month, lift to 30",Team Leads
G3a. Meeting cadence,Negotiation / decision meetings run by TLs,Ad-hoc,TL personally runs every Hot lead's negotiation meeting,Team Leads
,,,,
,,,,
SECTION 2 — TEAM 1: CALLING TEAM (HQ Engagement),,,,
,,,,
Field,Value,,,
Mission,Keep Tier 1+2 brokers engaged from HQ via WhatsApp + structured follow-up; drive visits-per-broker from 3.5 → 6.,,,
Composition,HQ engagement team (calling reps + Adiksha-managed). Roughly 1 caller per ~50 brokers.,,,
Reports to,Adiksha Sahu (Team Lead),,,
